album_id,album_name,total_tracks,popularity,artist_id,release_date
6SQWwNCTTPmS1DaXQNRDOy,When the Morning Comes,12,51,5xKp3UyavIBUsGy3DQdXeF,2015-11-13
22uQ3YSLjQJPNPkZQzdX2y,Cancer,1,50,3YQKmKGau1PzlVlkL1iodx,2016-09-14
4skqOUXyBUnzxVPNPxrGWV,Cole World: The Sideline Story,16,0,6l3HvQ5sa6mXTsMTB19rO5,2011-09-23
0bfNmMmjV6nvDwwhUvL7e8,Black Barbies,1,52,0hCNtLu0JehylgoiP8L4Gh,2016-11-30
4mkvtXQd6rD7zuAHhexEvb,Levels,4,0,1vCWHaC5f2uS3yhpwWbIA6,2011-10-28
2dBgWXp41imu2zBNv9oFxZ,Fénix,26,71,1SupJlEpv7RS2tPNRaHViT,2017-01-20
6SdmyV1DoEIWU6HDal5BgY,Future Hearts,13,0,46gyXjRIvN1NL1eCB8GBxo,2015-04-07
0XrY1pVMbOCXpE4HzOJIXh,Big Band Legends,60,0,63F9pr5N3duAS7idUvkIwC,2016-05-23
48a7rOjTzpD1zzJAteeveE,Visions,13,0,053q0ukIDRgzwTr4vNSwab,2012-02-21
388lv1ynvLzyJooZsNmf0l,Let's Get Ready,18,51,3LIJJJkO7R5RasRwt7xIn5,2000-09-26
2j6FKTNH54MbpYHoiJijjP,Greatest Hits,11,26,6D01mATo26VaiiCfZzpWAm,1998-07-14
1f2ggF7K0aDz88Xg4b3Vr2,The Gifted,16,31,67nwj3Y5sZQLl72VNUHEYE,2013-06-24
1X1oguiqKI9PyC2OEzD21C,Never Forget,9,26,5J7URjIP8aFmeSn2QwF9Au,2016-10-28
3pgcHENAMBqdvBj65yvZLb,Tell Me You Love Me (Deluxe),15,0,6S2OmqARrzebs0tKUEyXyp,2017-09-29
6iFQqMVZ6eLQESfdkIzVXO,808s & Heartbreak (Softpak),12,0,5K4W6rqBFWDnAN6FQUkS6x,2008-11-24
3oBkPfQEWI85Mi6gMcDpK5,Side Show (Original Broadway Cast Recording),24,20,2hor7d3b4ZKeK3f2gurtK0,1997-12-09
5epYkQqWldhYysHIH9mrmE,Stone Cold Rhymin',13,53,5n30a5V4ftXNMHCHChmK2h,1989-01-01
2Z9WUERfMjOgQ6ze9TcGbF,Little Voice,12,64,2Sqr0DXoaYABbjBo9HaMkM,2007-07-03
3kwbwO3wtwyNo7zCFzWkcW,Is There Anybody Out There? - Track by Track Commentary,25,60,5xKp3UyavIBUsGy3DQdXeF,2014-01-13
2esWeP8Ln1sXA0jbDmi3Zq,Big Willie Style,16,66,41qil2VaGbD194gaEcmmyx,1997-10-03
0axuJX1jpzLwXW1mZ5rOXL,Da Hitman Presents: Reggaetón Latino (Int'l Version),11,0,33ScadVnbm2X8kkUqOkC6Z,2005-01-01
4lH4EH0Iwx6X9S3xxZ9TZy,Bright Side of Life,12,0,2WjvvwAX0mdWwq3aFuUdtc,2009
55IoPTWDaFLWGhxR7E4YSH,MotorSport,1,0,6oMuImdp5ZcFhWP0ESe6mG,2017-10-27
6opKASPALOkPwCfHvqIS9H,Joytime,10,55,64KEffDW9EtZ1y2vBYgq8T,2016-01-08
