artist_id,artist_name,popularity,genre1,genre2
0TnOYISbd1XYRBk9myaseg,Pitbull,81,dance pop,miami hip hop
2VIoWte1HPDbZ2WqHd2La7,The Turtles,58,brill building pop,bubblegum pop
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,84,modern alternative rock,modern rock
0UpuH5U4nZ3UGGUJi0Zfbp,Blue Swede,57,classic swedish pop,
5Zq7R5qmi58ByYyBQTlNuk,Lee Brice,70,contemporary country,country
6BXionV4R0BunrFpSwIMUK,Britt Nicole,51,ccm,cedm
2FOSbgnMwzJq5pmBURJRV8,The Liverpool Gents,19,,
0f3EsoviYnRKTkmayI3cux,Men At Work,64,album rock,australian rock
5pUo3fmmHT8bhCyHE52hA6,Liam Payne,65,dance pop,pop
4W48hZAnAHVOC2c8WH8pcq,The Temper Trap,66,modern rock,
3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson,75,neo mellow,
3CQIn7N5CuRDP8wEI7FiDA,Run–D.M.C.,61,east coast hip hop,golden age hip hop
0YrtvWJMgSdVrk3SfNjTbx,Death Cab for Cutie,64,indie pop,indie rock
7KTMw4g3OqEh9Jz1HmF7bo,K'Jon,39,contemporary r&b,neo soul
6vXTefBL93Dj5IqAWq6OTv,French Montana,74,gangster rap,hip hop
4JNfz6aO9ZFz0gp5GY88am,Hey Violet,54,alt z,electropop
1BhWF9W2PngtPSyobKg0rP,Pia Mia,59,dance pop,pop
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,76,art rock,classic rock
0c173mlxpT3dSFRgMO8XPh,Big Sean,77,detroit hip hop,hip hop
6vWDO969PvNqNYHIOW5v0m,Beyoncé,86,dance pop,pop
7FBDXY8U17aasVTH3rgxbS,Bankroll Fresh,47,atl hip hop,atl trap
2BpAc5eK7Rz5GAwSp9UYXa,The Tallest Man On Earth,53,indie folk,stomp and holler
1VBflYyxBhnDc9uVib98rw,Icona Pop,65,candy pop,dance pop
5R3Hr2cnCCjt220Jmt2xLf,Dillon Francis,65,brostep,dance pop
4sTQVOfp9vEMCemLw50sbu,Galantis,73,dance pop,edm
7wCjDgV6nqBsHguQXPAaIM,Waylon Jennings,66,country,country rock
4WN5naL3ofxrVBgFpguzKo,Rudimental,67,dance pop,edm
5TKKPpY9zr2qrz3JM3Vawq,Lillias White,56,disney,
6UL7BodGc5iVmQGlMwHR0g,Steel Pulse,53,dub,reggae
4FNbNj9mlDLitaic9vXlwZ,Tecupae,34,pop reggaeton,
7xEFii6utZmQ61kX59HmLH,FRENSHIP,53,electropop,indie poptimism
6J7rw7NELJUCThPbAfyLIE,The Civil Wars,57,acoustic pop,indie folk
1md9aYaJ6Qt1FHypXICB5V,Emblem3,40,post-teen pop,talent show
1TtJ8j22Roc24e2Jx3OcU4,Purity Ring,51,art pop,canadian electropop
3tdsh4B7GuigHI4vPtUs87,Adore Delano,35,draga,strut
1T8S48bD91THNKBByWBDyn,Dwayne Johnson,61,,
59QxeZBL6k9L4oJBGSyukd,The Marshall Tucker Band,56,album rock,blues rock
6AGUQK1EWK6nvN4pLIDQDQ,The Mowgli's,53,indie poptimism,modern alternative rock
08b2PA6eFyugsWAk41eQKZ,Lesley Gore,55,adult standards,brill building pop
33ScadVnbm2X8kkUqOkC6Z,Don Omar,80,latin hip hop,puerto rican pop
3TVXtAsR1Inumwj472S9r4,Drake,97,canadian hip hop,canadian pop
4G0XDEk7RbA4BBCTs917U9,Sun Kil Moon,44,alternative rock,dream pop
0wnYgCeP013HkKoOyC5V32,Allie X,55,alt z,art pop
5ictveRyhWRs8Gt8Dvt1hS,The Front Bottoms,62,alternative emo,asbury park indie
2SPt3i9sJKS1qiMQQQr9LS,Kweku Collins,40,underground hip hop,
3DozezNrsIE37kJJfHhS9M,Ages and Ages,32,portland indie,
5iN89s0E8GcsTkIvCtYMRa,OYSTER KIDS,21,,
5BxMS9rhKHbSagaYFBICun,JJ DOOM,43,alternative hip hop,
2PmYKBQgsjegT3k5C6pkqW,one sonic society,45,anthem worship,ccm
0f5nVCcR06GX8Qikz0COtT,Omarion,59,dance pop,hip pop
4tNxq9NGKTKaX8OkZBLgf0,Nightmares On Wax,55,bleep techno,downtempo
